solute,n_atoms,mw_g_per_mol,vdw_volume_nm3,radius_nm,rg_nm,copies_5wt,copies_10wt,copies_ceiling,core_fill_fraction_at_5wt,wt_fraction_at_ceiling
aspirin,21,180.16,0.1541,0.554,0.293,119,238,516,0.0864,0.2172
pyrene,26,202.26,0.1862,0.580,0.317,106,212,427,0.0930,0.2018
ibuprofen,33,206.28,0.2116,0.678,0.359,104,207,376,0.1037,0.1813
resveratrol,29,228.25,0.2072,0.771,0.406,94,187,384,0.0917,0.2048
quercetin,32,302.24,0.2382,0.750,0.404,71,142,334,0.0797,0.2359
nile_red,42,318.38,0.2899,0.926,0.481,67,134,274,0.0915,0.2039
indomethacin,41,357.79,0.3024,0.829,0.402,60,120,263,0.0855,0.2199
curcumin,47,368.38,0.3311,1.006,0.549,58,116,240,0.0905,0.2066
doxorubicin,68,543.52,0.4577,0.928,0.490,39,79,173,0.0841,0.2197
docetaxel,111,807.89,0.7282,1.164,0.571,26,53,109,0.0892,0.2058
paclitaxel,113,853.92,0.7546,1.149,0.575,25,50,105,0.0889,0.2095
